annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
11174,TV,Nurarihyon no Mago,Ending 1,Katate☆SIZE,Sparky☆Start,Summer 2010,10540,7592,w10ztp.mp3,1d0tob.webm,,89.232
11174,TV,Nurarihyon no Mago,Opening 2,MONKEY MAJIK,Sunshine,Summer 2010,10539,7592,zzb4z8.mp3,4axqz1.webm,,88.368
11174,TV,Nurarihyon no Mago,Opening 1,MONKEY MAJIK,Fast Forward,Summer 2010,10538,7592,w550nl.mp3,5ec4eh.webm,,88.848
11174,TV,Nurarihyon no Mago,Ending 2,Katate☆SIZE,Symphonic☆Dream,Summer 2010,10541,7592,vmy93r.mp3,r2i7jj.webm,,89.088
11174,TV,Nurarihyon no Mago,Ending 3,Katate☆SIZE,Brilliant☆Message,Summer 2010,10542,7592,dd1g2d.mp3,sroh78.webm,,165.648
12357,TV,Nurarihyon no Mago: Sennen Makyou,Ending 1,Katate☆SIZE,Orange Smile,Summer 2011,11362,10049,je86p9.mp3,7hmhnt.webm,,88.272
12357,TV,Nurarihyon no Mago: Sennen Makyou,Opening 1,LM.C,Hoshi no Arika.,Summer 2011,11359,10049,kewfcd.mp3,8new2l.webm,,87.888
12357,TV,Nurarihyon no Mago: Sennen Makyou,Ending 2,Katate☆SIZE,Departure,Summer 2011,11363,10049,q0n6b4.mp3,9dleuh.webm,,87.552
12357,TV,Nurarihyon no Mago: Sennen Makyou,Opening 2,LM.C,The LOVE SONG,Summer 2011,11361,10049,prstts.mp3,nxlzm6.webm,,88.536
10686,TV,Nyan Koi!,Opening 1,Yui Sakakibara,Nyandaful!,Fall 2009,10178,6512,ohwr2y.mp3,2gmg2t.webm,,89.064
10686,TV,Nyan Koi!,Ending 1,Asami Imai,Strawberry ~Amaku Setsunai Namida~,Fall 2009,10179,6512,mm7rux.mp3,2rek7m.webm,,88.656
3633,TV,Oban Star-Racers,Ending 1,Sukoshi,Waratteta,Spring 2006,6004,1212,ho6fwc.mp3,03pkrp.webm,,59.544
3633,TV,Oban Star-Racers,Opening 1,Akino,Chance to shine,Spring 2006,6002,1212,74navj.mp3,dbx3u9.webm,,59.976
22540,ONA,Obsolete,Opening 1,Skrillex and Nik Roos,obsolete,Fall 2019,27187,111964,mudlh3.mp3,hwb7zh.webm,,56.904
18156,TV,Occultic;Nine,Ending 1,Asaka,Open your eyes,Fall 2016,15915,21708,3ilaqc.mp3,fnwh8f.webm,lbynjq.webm,99.552
18156,TV,Occultic;Nine,Opening 1,Kanako Itou,Seisuu 3 no Nijou,Fall 2016,15914,21708,q71obq.mp3,zqbedq.webm,8t0c0j.webm,90.096
22604,TV,Ochikobore Fruit Tart,Opening 1,Fruit Tart,Kibou Darake no EVERYDAY,Fall 2020,30774,108713,r94mhb.mp3,elv8xe.webm,czh6lm.webm,84.624
22604,TV,Ochikobore Fruit Tart,Ending 1,Fruit Tart,Wonder!,Fall 2020,30775,108713,hqvuh6.mp3,x84s0u.webm,q1us0c.webm,88.128
13761,TV,Oda Nobuna no Yabou,Opening 1,Aimi,Link,Summer 2012,12046,11933,k64jni.mp3,ivs56e.webm,awymbm.webm,88.512
13761,TV,Oda Nobuna no Yabou,Ending 1,Makino Mizuta,Hikari,Summer 2012,12047,11933,hv6384.mp3,qqbfbe.webm,rk7o5q.webm,89.04
23921,TV,Odd Taxi,Ending 1,Suzuko Mimori,Sugarless Kiss,Spring 2021,33338,128547,ewimwt.mp3,20b0y7.webm,,59.136
